company_name,exchange
Astra Microwave Products Limited,NSE
AstraZeneca Pharma India Limited,NSE
Astron Paper & Board Mill Limited,NSE
Atal Realtech Limited,NSE
Atam Valves Limited,NSE
Adani Total Gas Limited,NSE
Ather Energy Limited,NSE
Allcargo Terminals Limited,NSE
ATLANTAA LIMITED,NSE
Atlanta Electricals Limited,NSE
Atlas Cycles (Haryana) Limited,NSE
Atul Limited,NSE
Atul Auto Limited,NSE
AU Small Finance Bank Limited,NSE
Auri Grow India Limited,NSE
Aurionpro Solutions Limited,NSE
Aurobindo Pharma Limited,NSE
Aurum PropTech Limited,NSE
Ausom Enterprise Limited,NSE
Automotive Axles Limited,NSE
Autoline Industries Limited,NSE
Avadh Sugar & Energy Limited,NSE
Avalon Technologies Limited,NSE
Avantel Limited,NSE
Avanti Feeds Limited,NSE
AVG Logistics Limited,NSE
Aditya Vision Limited,NSE
Avonmore Capital & Management Services Limited,NSE
AVRO INDIA LIMITED,NSE
AVT Natural Products Limited,NSE
Awfis Space Solutions Limited,NSE
Antony Waste Handling Cell Limited,NSE
AWL Agri Business Limited,NSE
Axis Bank Limited,NSE
AXISCADES Technologies Limited,NSE
Axita Cotton Limited,NSE
AYM Syntex Limited,NSE
Azad Engineering Limited,NSE
Bafna Pharmaceuticals Limited,NSE
B.A.G Films and Media Limited,NSE
Baid Finserv Limited,NSE
Bajaj Auto Limited,NSE
Bajaj Consumer Care Limited,NSE
Bajaj Electricals Limited,NSE
Bajaj Finserv Limited,NSE
Bajaj Healthcare Limited,NSE
Bajaj Housing Finance Limited,NSE
Bajaj Hindusthan Sugar Limited,NSE
Bajaj Holdings & Investment Limited,NSE
Indef Manufacturing Limited,NSE
Bajel Projects Limited,NSE
Bajaj Finance Limited,NSE
Shree Tirupati Balajee Agro Trading Company Limited,NSE
Balaji Telefilms Limited,NSE
Balaji Amines Limited,NSE
BALAXI PHARMACEUTICALS LIMITED,NSE
Balkrishna Paper Mills Limited,NSE
Balkrishna Industries Limited,NSE
Balmer Lawrie & Company Limited,NSE
Bal Pharma Limited,NSE
Balrampur Chini Mills Limited,NSE
Balu Forge Industries Limited,NSE
Banaras Beads Limited,NSE
Bannari Amman Sugars Limited,NSE
Banco Products (I) Limited,NSE
Bandhan Bank Limited,NSE
Bang Overseas Limited,NSE
Banka BioLoo Limited,NSE
Bank of Baroda,NSE
Bank of India,NSE
Bansal Wire Industries Limited,NSE
Banswara Syntex Limited,NSE
BASF India Limited,NSE
Bannari Amman Spinning Mills Limited,NSE
Bata India Limited,NSE
Bayer Cropscience Limited,NSE
Bharat Bijlee Limited,NSE
Black Box Limited,NSE
Bombay Burmah Trading Corporation Limited,NSE
B&B Triplewall Containers Limited,NSE
Brightcom Group Limited,NSE
Bcl Industries Limited,NSE
Brand Concepts Limited,NSE
Bharat Dynamics Limited,NSE
Beardsell Limited,NSE
Mrs. Bectors Food Specialities Limited,NSE
Bedmutha Industries Limited,NSE
Bharat Electronics Limited,NSE
Bella Casa Fashion & Retail Limited,NSE
Belrise Industries Limited,NSE
BEML Limited,NSE
Bhansali Engineering Polymers Limited,NSE
Berger Paints (I) Limited,NSE
Best Agrolife Limited,NSE
Beta Drugs Limited,NSE
BF Investment Limited,NSE
BF Utilities Limited,NSE
BGR Energy Systems Limited,NSE
Bhagiradha Chemicals & Industries Limited,NSE
Bhageria Industries Limited,NSE
Bhagyanagar India Limited,NSE
Bhandari Hosiery Exports Limited,NSE
Bharat Forge Limited,NSE
Bharat Gears Limited,NSE
Bharat Rasayan Limited,NSE
Bharat Seats Limited,NSE
Bharat Wire Ropes Limited,NSE
Bharti Airtel Limited,NSE
Bharti Hexacom Limited,NSE
Bharat Heavy Electricals Limited,NSE
Bigbloc Construction Limited,NSE
Bikaji Foods International Limited,NSE
Bhartiya International Limited,NSE
BIL VYAPAR LIMITED,NSE
Biocon Limited,NSE
Biofil Chemicals & Pharmaceuticals Limited,NSE
Birla Cable Limited,NSE
Birla Corporation Limited,NSE
Aditya Birla Money Limited,NSE
BirlaNu Limited,NSE
BLACKBUCK LIMITED,NSE
BEML Land Assets Limited,NSE
BLB Limited,NSE
Bliss GVS Pharma Limited,NSE
B. L. Kashyap and Sons Limited,NSE
BLS International Services Limited,NSE
BLS E-Services Limited,NSE
Blue Coast Hotels Limited,NSE
Blue Dart Express Limited,NSE
Blue Jet Healthcare Limited,NSE
Blue Star Limited,NSE
BlueStone Jewellery and Lifestyle Limited,NSE
Bluspring Enterprises Limited,NSE
BMW Ventures Limited,NSE
Bodal Chemicals Limited,NSE
Bohra Industries Limited,NSE
Bombay Dyeing & Mfg Company Limited,NSE
Borana Weaves Limited,NSE
Borosil Limited,NSE
BOROSIL RENEWABLES LIMITED,NSE
Borosil Scientific Limited,NSE
